POS,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
17,Kuldeep Yadav (DC),15,14,13,51,361,22/3,24.06,7.07,20.4,0,0
22,Mitchell Starc (DC),14,11,10,36,366,35/5,26.14,10.16,15.42,0,1
29,Mukesh Kumar (DC),12,12,12,39.3,408,33/4,34,10.32,19.75,1,0
32,Vipraj Nigam (DC),11,14,13,39,356,18/2,32.36,9.12,21.27,0,0
58,Axar Patel (DC),5,12,11,34,288,19/2,57.6,8.47,40.8,0,0
62,Mustafizur Rahman (DC),4,3,3,11,87,33/3,21.75,7.9,16.5,0,0
70,Dushmantha Chameera (DC),4,6,5,15,171,24/1,42.75,11.4,22.5,0,0
83,Mohit Sharma (DC),2,8,8,25,257,10/1,128.5,10.28,75,0,0
