POS,Player,Team,Mat,Inns,NO,Runs,HS,Avg,BF,SR,50,4s,6s
1,Vaibhav Suryavanshi,RR,1,7,0,252,101,36,122,206.55,1,18,24
2,Mitchell Marsh,LSG,1,13,0,627,117,48.23,383,163.7,6,56,37
3,K L Rahul,DC,1,13,3,539,112*,53.9,360,149.72,3,52,21
4,Heinrich Klaasen,SRH,1,13,2,487,105*,44.27,282,172.69,1,42,25
5,Abhishek Sharma,SRH,1,14,0,439,141,33.77,227,193.39,2,46,28
6,Ishan Kishan,SRH,1,14,3,354,106*,35.4,232,152.58,1,33,15
7,Rishabh Pant,LSG,1,14,2,269,118*,24.45,202,133.16,1,23,16
8,Sai Sudharsan,GT,1,15,1,759,108*,54.21,486,156.17,6,88,21
9,Priyansh Arya,PBKS,1,17,0,475,103,27.94,265,179.24,2,55,25
