Player,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
Varun Chakaravarthy,13,13,50,383,22/3,22.52,7.66,17.64,0,0
Vaibhav Arora,12,12,42.3,430,29/3,25.29,10.11,15,0,0
Harshit Rana,13,13,44,448,25/3,29.86,10.18,17.6,0,0
Sunil Narine,12,12,45,351,13/3,29.25,7.8,22.5,0,0
Andre Russell,13,9,18.1,217,21/2,27.12,11.94,13.62,0,0
Moeen Ali,6,5,16,136,23/2,22.66,8.5,16,0,0
Anukul Roy,1,1,4,27,27/1,27,6.75,24,0,0
Spencer Johnson,4,4,11.2,133,42/1,133,11.73,68,0,0
Anrich Nortje,2,2,7,83,23/1,83,11.85,42,0,0
